tay,vietnamese
tua đếch ngòi ban,đứa trẻ trông đẫy đà
"tua vài nẩy nhằng ón lai, xằng thư nà đảy",con trâu này còn non quá
tua vài đang dú chang đông.,con trâu đang ở trong rừng.
tua vài đang kin nhả dú noọc nà.,con trâu đang ăn cỏ ở ngoài ruộng.
tua vài đang lặn,con trâu mình tròn chắc
tua xúng xao,con nhện
tua đây mền slỉ hẩư slắc phài,người tốt bụng bố thí cho một nắm
tua đảy tua khảu khương,được con nào cho vào giỏ con ấy
tua đếch,đứa trẻ
tua đếch bẻo bựt,đứa trẻ béo múp
tua đếch cò kè,khóc nhè
tua đếch cò kè,đứa bé ốm
tua mu nẩy liệng đảy sloong pi dá.,con lợn này nuôi được hai năm rồi.
tua mu nẩy nắc pác slíp cân.,con lợn này nặng 100 cân.
tua mu nẩy nắc slam pác cân.,con lợn này nặng 300 cân.
"tua ma mừa dá, đừng phuối lăng them.","con chó chết rồi, đừng nói gì thêm nữa."
tua ma nhà pí sủa lai.,con chó nhà chị sủa to lắm.
"tua ma nẩy slí mjạc, vằn vằn vẫy đuôi.","con chó này vui tính, ngày nào cũng vẫy đuôi."
tua ma pây chỏ,con chó đi đời rồi
tua ma quắt qué hang,con chó ve vẩy đuôi
tua ma thai tẳng khẻo,con chó chết nhăn răng
tua ma eng kia,con chó con còi
tua mèo,mèo
tua mìn,con rận
tua mò,con bò
tua non,sâu
tua non cằn,sâu ngứa (róm)
tua nu,chuột
tua nu chỉ,chuột nhắt
tua nạc slon lục nạc đăm pja,rái cá dạy con của rái cá lặn bắt cá
tua nạc slon lục nạc đăm pja,rái cá dạy rái cá con bắt cá
tua nạc đang đăm pja dú kha loong.,con rái cá đang bắt cá ở dòng suối.
tua nạc đăm pja lai.,con rái cá bắt cá nhiều.
tua ma mừa dá.,con chó chết rồi.
tua ma mừa dá,con chó chết rồi
tua mu nẩy nắc sloong pác cân.,con lợn này nặng 200 cân.
tua ma eng khôn moong múp.,chó con lông mốc thếch.
tua mu sláy,con lợn bé tí
tua mu đa rang,con lợn mình dài
tua mu đang dú chang lụa.,con lợn đang ở trong chuồng.
tua mèng,con ruồi
tua mu nẩy cẳm cạ bấu mì sloong nạo,con lợn này chẳng lẽ không được hai yến
tua mèng thương,ong mật
tua mu,con heo
tua meo đang đuổi tua nù chang rườn.,con mèo đang đuổi con chuột trong nhà.
"tua lục nhình hang pây hết lùa dú bản cốc bây, thư nà.",làm ruộng.
"tua lục nhình hang pây hết lùa dú bản cốc bây, thư nà.",đứa con gái đi làm dâu ở làng cốc bây
tua lục nhình tồng me lẹo slâư,đứa con gái giống hệt mẹ
tua ma,chó
tua ma,con chó
tua ma cúa khỏi chắc hăn ma.,con chó của tôi biết trông ma.
tua ma eng khôn moong múp,chó con lông mốc thếch
"tua ma eng khôn moong múp, đây mjạc.","chó con lông mốc thếch, dễ thương."
tua mi,gấu
tua heng hỏi,con đom đóm
"tua cúc pây tàu dá, dằng mà náo a bảc? te xằng mà nau á? pện cẳm nẩy pjầu dá mì cần khẩu mà lăng, xiên khỏ pỏ slay cổ oóc pây bảt nớ.","cúc đi đâu mà chưa về hả bác? nó chưa đến cơ à? thế tối nay ăn cơm xong, có người đến đón, sư thầy cố ra ngoài kia giúp nhé."
tua ljuồm,con châu chấu
dèn,đưa
dáu dáu,nhong nhong
dáu dáu,thoăn thoắt
dân,lạnh
dáng,bước
dâư,chảy
dè,thế
dè,đi nào
dèn,chìa
dé,bác
dá hêt hẩư hâu kích lai,đừng gây uất ức cho người ta quá
déc,xé
déc bâư chỉa,xé tờ giấy
dén,thuốc phiện
dâư,rớt
déng,manh
dám khửn rườn,bước vào nhà
dám kha,bước chân
dá,thôi
dáp dương,ngại ngùng
dáp,lắp
dáng khảm cạm,bước qua thanh chắn cổng
dáng,thanh gươm
"của cần lẻ ả pác cốp, của rầu lẻ hắp pác cáy",của người thì há miệng ếch
của tin mừ nặm bó của vó mè nặm nòong,của bố mẹ là nước lũ
cừa,bụi
của tin mừ nặm bó của vó mè nặm nòong,của tay là nước nguồn
"của vậu khỉ ma, của rà ngà hoóc",của người cứt chó
củm,cộc
củng,con tôm
cứ,cưa
"cứ ỏn slim pây, dá đảy hí hon mòn lăng",chớ có lo lắng điều gì
"cứ ỏn slim pây, dá đảy hí hon mòn lăng",cứ yên tâm đi
cứa,nọ
cứa,ấy
"của vậu khỉ ma, của rà ngà hoóc",của mình hạt vừng quý
dom,ngó
dom,nhòm
dom,để dành
dáng,dáng bước đi lững thững
dá,đừng
dá hết slổi,chớ làm điều tồi tệ
dên,rét
"dò, vằn ngoà fạ phôn, pây rây mẻn chảt kha, lộm, mừ chổng lồng đin tầư mjảy mừ dá lố.",hôm qua trời mưa
"dò, bấu mì câu pấu kỉ ám nặm cắt, boong mầu cẳm au đảy cặn ngải?","hừ, không có tao phun mấy miếng nước lã, thì chúng mày có lấy bạc dễ đến như thế không?"
"dò, câu đảy au rẻ hơn pựn.","vâng, tao được mua rẻ hơn người ta."
"dò, khảm đảy kha tẻ tẻo cạ bấu đảy kha mương lò?","chả nhẽ, vượt qua được con suối mà lại không qua được con mương à?"
"dò, khỏ nẳm lai a!","ôi, khó nghĩ lắm!"
dích doóc hẩư đúc điêm,cù cho buồn
"dò, khỏ nẳm lai a.","ôi, khó nghĩ lắm."
"dò, mầng đang phuối cằn nà teo pây loà kha cáy.",đang nói chuyện bờ ruộng lại chuyện chân gà.
"dò, mắc lì đây pện nảy noọng nhằng cạ xẩu ló?","dà, lê đẹp thế này mà em còn bảo xấu á?"
"dò, vằn ngoà fạ phôn, pây rây mẻn chảt kha, lộm, mừ chổng lồng đin tầư mjảy mừ dá lố.",ngã
dá hết ói sloi,đừng làm bẩn thỉu
"dò, vằn ngoà fạ phôn, pây rây mẻn chảt kha, lộm, mừ chổng lồng đin tầư mjảy mừ dá lố.",tay chống xuống đất nên bị sưng đấy.
"dò, vằn ngoà fạ phôn, pây rây mẻn chảt kha, lộm, mừ chổng lồng đin tầư mjảy mừ dá lố.",ôi
"dò, vằn ngoà fạ phôn, pây rây mẻn chảt kha, lộm, mừ chổng lồng đin tầư mjảy mừ dá lố.",đi làm rẫy trượt chân
dòi,dầm
"dò, mầng đang phuối cằn nà teo pây loà kha cáy.",thế đấy
déo,deng dong dỏng
dích doóc,trêu ghẹo
dích doóc,chọc ghẹo
dò! hết lừ đây?,chà làm thế nào bây giờ?
dò chăm,cất vó
dò,chà
dích doóc lục slao,trêu ghẹo con gái
dá phuối pện nè,đừng nói như thế nhé
dá đảy cảng lằn chằn,đừng có nói lôi thôi
dá đảy hết cần mừ,đừng làm kẻ ăn cắp vặt
dám kha nẩư nỏ,bước chân nhẹ nhàng
dá đảy hết cần mừ rì.,đừng làm kẻ ăn cắp vặt.
dác,khát
dác,thèm
dác,đói
dác dên,đói rét
dác dảo bấu dác mỏ,đói vựa thóc không đói nồi
dác nặm,khát nước
dám,bước
dám,mũi chỉ
dá đảy nhẻn nè,đừng xấu hổ nhé
dá,rồi
déng slửa bang,manh áo mỏng
dên,lạnh
"của cần lẻ ả pác cốp, của rầu lẻ hắp pác cáy",của mình thì khép mỏ gà
củ pác khan,cất tiếng đáp lại
củ pác chúc sloong chư cảnh xuân,cất tiếng chúc hai chữ cảnh xuân
củ,cất
cột,cong
cờ bên phạch,cờ bay phần phật
cợ,cặn
cụm,phù hộ
cụm cừa,phù hộ
cụn,dạn
cụp,bẫy
cụp nu,bẫy chuột
củ,cất dọn
củ pác,cất tiếng
cở,cớ
củ,cất tiếng
cộp mì slí nhac chả,một cộp gồm bốn bó mạ
cộp,kép
cổn,trôn
cổn,đáy
cổn,đít
cổn choóc,đáy cốc
cờ bên fặt fay,cờ bay phấp phới
cờ,cờ
cột ngoáng,cong vênh
cột ngoáng,cong queo
diết,nghển
diết chai,nằm nghỉ
diết chạn,vươn vai
diết cò,nghển cổ
diết lăng,ngả lưng
diết lịn,lè lưỡi
"diết mừ, kha",duỗi tay chân
diếu,cần thiết
diếu,cố tình
diết,ngả
da ké cò kè,bà già khó tính
da ké bjắc bjoi cần hết lặc,bà già chửi bới kẻ ăn trộm
da duốc,thuốc thang
cột,đào
cột bó nặm,đào giếng nước
cột kẹo,cong queo
cột kẹo,giả dối
cổn khỉ pỉ ăn hai,mông người ví mặt trăng
cổn vài,đít trâu
cộ,bộ
cử hạy năng lồng tinh hẩư đây ngoi nè.,hãy cứ ngồi xuống nghe cho kĩ cái đã nào
cựa,động đậy
cừa rộc,bụi rậm
cựa ỉ le hảy,hơi tí là khóc
da,mẹ chồng
da,thuốc
da ay,thuốc ho
da băc lục lùa,mẹ chồng chì chiết nàng dâu
da cheo nặm thương,thuốc hòa nước đường
da din,bà phù thủy
da din,mụ phù thủy
da duốc,thuốc men
da,bà già
củ bôm,hóa vàng
cừa nam,bụi gai
cứng,ngắc
củ khẩu hòm,cất vào tủ
củ mả,cải táng
cựa,hơi tí
cừn nòn lèo slỉnh tình,đêm ngủ phải cảnh giác
cộ choòng tắng,bộ bàn ghế
cừn lậc,đêm khuya
cộp chả mì slí nhạc,một cộp có bốn bó mạ
cộc,cục
cộn,bị sái
cộn,bới
cộn,lục lọi
cộn,trật khớp
cộn hòm xa slửa khóa,bới hòm tìm quần áo
cộng,cộm
cộng,lồi
cộp,bốn bó mạ
cộc hin,cục đá
dom,dành
củ,thu hái
củ bắp,thu hái ngô
cừn,đau nhức
cừn,đêm
cừn lả,đêm khuya
dên,nguội
dên lai mừ chả lẹo,rét quá cóng cả tay
tua lỉn,tê tê
tua cáy nhằng au châư mẹp mẹp,con gà còn thở thoi thóp
tua cáy nẩy đang đăm khẩu.,con gà này đang mổ thóc.
tua cáy rộc,con cóc
tua cáy thai chả pây dá,con gà chết cứng đi rồi
tua cáy tháo,con gà nhỡ
"tua cáy trống khăn dặng, roọng khỏi tỉnh.","con gà trống gáy sáng, gọi tôi dậy."
tua cáy xọt,con gà đi tong
"tua cáy ái thai la le mao đăm, píc thốc, cò hốt dú lố",con gà bị cúm gia cầm thì mào thâm
"tua cáy ái thai la le mao đăm, píc thốc, cò hốt dú lố",còn ho nữa.
"tua cáy ái thai la le mao đăm, píc thốc, cò hốt dú lố",mồm chảy dãi
"tua cúc pây tàu dá, dằng mà náo a bảc?",cúc đi đâu mà chưa về hả bác?
"tua cáy ái thai la, rèo au pây chôn.","con gà bị cúm, phải mang đi chôn."
tua cáy đông,gà rừng
"tua cáy, roọng hết tua cáy, mí chư ăn cáy nau.",con gà
"tua cáy, roọng hết tua cáy, mí chư ăn cáy nau.",gọi là con gà không phải cái gà đâu.
"tua cáy, roọng hết tua cáy, mí chư_ ăn cáy nau. ăn doòng cáy sle xăng tua cáy. cáy slam pày tốp pic chắng khăn. tua cần slam pày dằng chắng phuối.","con gà, gọi là con gà không phải cái gà đâu. cái lồng gà để nhốt con gà. gà ba lần vỗ cánh mới gáy. người ba lần ngẫm nghĩ mới nói."
"tua cáy, roọng hết tua cáy.","con gà, gọi là con gà."
tua cúa,con vật
tua cúa chang đông,con vật trong rừng
nà nưa,khu vực phía trên
nhắc nhau,cáu gắt
nà múi,múi cối
dà đét,che nắng
dà,đắp
dà dẹng,đậy điệm
dà fà hẩư noọng,đắp chăn cho em
dà khít lít,che kín mít
dà khít rựp,che đậy kín mít
dà phôn,che mưa
dà phôn,che nắng
dào,mài
dà đét,che mưa
"dà, hâng lai bấu chập chài thành dá, lao tố nhỉ slíp pi dá bấu hăn căn slắc pày vớ.",chắc cũng phải 20 năm rồi không thấy nhau nhỉ.
"dà, hâng lai bấu chập chài thành dá, lao tố nhỉ slíp pi dá bấu hăn căn slắc pày vớ.",lâu lắm không gặp anh thành
"dà, hâng lai bấu chập chài thành dá, lao tố nhỉ slíp pi dá bấu hăn căn slắc pày vớ.",vâng
dài,cát
dài mưn kha loong,cát bồi dòng suối
dài mưn kha loong.,cát bồi dòng suối.
dàn,thưa
dào,che đậy
tua cáy ái thai la le mao đăm.,con gà bị cúm gia cầm thì mào thâm.
"tua cáy mất đâu, pây xa bấu?","con gà mất đâu, đi xa không?"
dìn,kia
tua khuyết,con nhái
tua cúc rườn lầu hết thư kí.,con cúc nhà mình làm thư kí.
tua hán,ngỗng
tua hân,cáo
tua hâư tăn phoóc,đứa nào ngu và vụng thì mới lấy gạo tẻ làm bánh dày
tua hâư tải tầu hết cón,đứa nào đầu têu nghịch trước
tua hâư tố mì sloong lan lẹo á.,đứa nào cũng có hai cháu rồi.
tua hên moòng có nắt chin mác muổi.,con cầy hương thích ăn quả gắm.
tua ka kiến,rết
tua hoi,ốc
tua cáy lan,con gà nhát
tua khít,con ghẻ
tua luồng,rồng
tua luổm,muỗm
tua lình,khỉ
tua lăng vừa chay quá chang bụi nhả kia?,con gì vừa chạy qua trong bụi cỏ kia?
tua lăng đang kêu dú noọc kia?,con gì đang kêu ở ngoài kia?
tua lẳm,diều hâu
tua lẳm củm,con cú
"tua cúc pây tàu dá, dằng mà náo a bảc? câu hết then chầy lá, bấu thúng rườn câu hết mủ then mà khai lò. cằm nẩy dú đuổi noọng chả. chạn tỉnh thai pây.","cúc đi đâu mà chưa về hả bác? tao làm nghề hát then thôi chứ, có phải tao làm mũ then để bán đâu. tối nay đành phải nghỉ lại với em thôi. khó nghe quá đi mất."
tu ả,mở cửa
tua ca đăm,quạ đen
tua cáy khôn kiểng,con gà lông mượt
tu ảng,cổng
tu ảng,cổng chào
tua,đứa
tua ai nả,con dế
tua an chả lả.,cái an à?
tua bẻ,dê
tua ca,quạ
tua ca cào,dơi
tua cáy luốt phjạt,con gà vụt sổng
tua ca đáng,quạ đốm
tua cao thấp,bọ cạp
tua chạng,con voi
tua chỏn,sóc
tua càn mạ,bọ ngựa
tua cáy,gà
tua cáy chọt oóc khói doòng,con gà xổng ra khỏi lồng
tua cáy khai kỉ lai,con gà bán bao nhiêu
dà,đậy
dào,dài
dào,rửa
duây,chảy
dum dum,lù lù
dung,vui
dung dang,vui vẻ
dung dang chồm hội,vui xem hội
dung doang,lơ lửng
doóng khó,ngồi xổm
dung doang,lướt thướt
dung dùng lai chèn,dùng nhiều tiền
duây,rỏ
dà,che
duông,hấp
duông pẻng tải,hấp bánh dợm
duốc,chuối rừng
duốc,thân cây chuối
duồng tạng,con kỳ nhông
dung dùng,đồ dùng
duộc,lần theo
doóng hẩư cáng mạy tắc,nhún nhảy cho cành cây gẫy
doại tẳm mừ,đưa tận tay
doại,đưa
doại,cho
dày slướng,xấu trai
dí,chà
dí,ấy
dí chắc pện khỏi tố pây,biết thế tôi cũng đi
dí chắc pện khỏi tố pây,ấy
dích doóc,cù
"dí dà, pả phuối chò slim lan chả lá?",bác nói đùa cháu thôi chứ gì?
"dí dà, téng ngòi nè, ngòi đảy nòn téng chin bấu nè?",chờ xem này
"dí dà, téng ngòi nè, ngòi đảy nòn téng chin bấu nè?",có được nằm chờ ăn không nào?
"dí dà, téng ngòi nè, ngòi đảy nòn téng chin bấu nè?",ôi dào
dí ngòi đảy nòn téng chin bấu nè,chà
dí ngòi đảy nòn téng chin bấu nè,xem có được nằm chờ ăn không nào
dí nỏ,chà chà
dí nỏ te hết đảy ca rại,chà chà
dí nỏ te hết đảy ca rại,nó làm được thật
"dí dà, pả phuối chò slim lan chả lá?",ôi dào
dòi doọc,quần quật
dá,làn điệu dân ca nùng
doóng,nhún nhảy
dom chèn sle hết rườn,dành tiền làm nhà
dom dó,dành dụm
dào cưa,mài cưa
dào nả,tạ lỗi
dào nả hạy sạch.,rửa mặt cho sạch.
dào phjắc,rửa rau
dàu doạt,thẳng tưng
dàu doạt,thẳng đuỗn
dàu dít,lưu loát
dào,thưa
dàu dít,mạch lạc
dàu dít,thẳng tắp
dàu dít,thẳng đuột
dàu dảy,dàu dít
dàu hết,cố ý làm
dàu tàng pây,thẳng đường mà đi
dàu éo cằm cần ké,cố ý làm trái lời bố mẹ
dày,yếu
dày slướng,xấu gái
dàu dít,thông thạo
dào nả,sĩ diện
dà,giữ
dom dó chèn dự xe,dành dụm đủ tiền mua xe
duộc khửn nèm khuổi mừa,lần theo khe suối đi lên
dom khảu sluôn,ngó vào vườn
dom khảu tòi,nhòm vào túi
don dén,dè sẻn
don dén,tằn tiện
doong dó,chăm sóc
doóng doát,nhảy nhót
doong dó,lo toan
doài doài,thất thểu
doát,nhảy
doòng,cái lồng
doòng,cái rọ
doòng cáy,lồng gà
doòng mu,rọ lợn
doòng ỏi bang,khóm mía thưa
doóng,khó
doài,rũ rượi
dá,chớ
thắt khảu xẩư,nhích vào gần
thắt pây pày ỉ,lết đi từng tí một
thắt rọt,lết
tói phấn,gần nửa
tót khon,x. toóc khon
tót tẳm oóc áy,buốt tận óc
tô,quảng cáo
tô,rao
tô,trọ
tót,buốt
tói pi,trọn một năm
tói phấn,nửa
tó nả,trước mặt
tóc nậm thai xa bố hẳn tang. hua cản cá lình.,vợ khóc than thảm thiết mất chồng. đứng đầu người thật.
tó phjầy,đun bếp
tó phường,cùng lứa
tó phầy,đun bếp
tó pác,cãi lại
tó té,dính líu
tó té,quan hệ
tó xum,ong đất
tó đát chếp lai pền khẩy,ong đốt đau quá phát ốm lửng
tót,rức
tót,nhức
tót,mổ
tóp,hóp
tò điếp,yêu nhau
"tò đá xá phân, náu căn hang lẻ róa",cùng mắng nhau như mưa rào
"tò đá xá phân, náu căn hang lẻ róa",giận nhau lâu là tồi
tòa,phệ
tò tổ,đố nhau
tó lệt,ong bầu vẽ
tó mú căn,cùng họ hàng với nhau
tó mú căn dú bản.,cùng họ hàng với nhau ở làng.
tói đẳm pjạ,tháo chuôi dao
tón,bữa
tón,mẻ
tón,trận
tón chin mì pja lầng,bữa ăn có cá luôn
tón khẩu chin slứa slác,bữa cơm ăn thừa thãi
tón ngài,bữa trưa
tóp,chụm lại
tói tu,gõ cửa
tó đẳm pjạ,tra chuôi dao
tói,gõ
tải đếch pây háng,dẫn con đi chợ
tảy,nể
tảng slừ,coi như
tảng slừ,cũng như
tảng táng,mộ tổ táng
tảy,bõ
tảy,chịu đựng
tảy,của chìm
tảy,nhịn
tảng,chắn
tải ỏng,cái óng
tói,tháo
tải đang đảy slam bươn dá,có mang được ba tháng rồi
tải,mang theo
tải,đeo
tải chèn,mang theo tiền
tải càng,mắc cằm
tải càng,quai nón
tải dáng,đeo gươm
tải khẩu lèng,mang theo cơm nắm
tảng,đỡ
tảng,che lấp
tải ỏng éc vài,cái óng ách trâu
tảng,che
tói,trọn
tói,đánh
"tói bấu đảy, lan mì chỉa cúa huyện mà thâng xạ, xạ tẻo mì chỉa mà bản.",có ạ. cháu có giấy của huyện gửi đến xã
"tói bấu đảy, lan mì chỉa cúa huyện mà thâng xạ, xạ tẻo mì chỉa mà bản.",vâng
"tói bấu đảy, lan mì chỉa cúa huyện mà thâng xạ, xạ tẻo mì chỉa mà bản.",xã lại có giấy gửi đến bản.
tói moong dú rườn.,gõ mõ ở nhà.
tô khai rườn,rao bán nhà
tò pày,đã từng
tăng tọt,vứt
"tơ_i cón bấu mì điện, mọi rườn thắp đèn dầu.","ngày xưa không có điện, mọi nhà đều thắp đèn dầu."
tảm,vết hằn
tảm,đám
tản,bật
tản,nghiền
tản,tán
tản bưa,tán bột
tản hạt tiêu,tán hạt tiêu
tò xày phủng ón dú xăm xa,ở chung với phượng giữa đất trời
tò xày hết nà,cùng nhau làm ruộng
tò xày,cùng nhau
tăm,giẫm
tăng nghé bẳng nặm,thục cái ống nước
tăn đéc,ngu xi
tăm toỏng khẩu cốc mạy,đâm sầm vào gốc cây
tăm toỏng hết ngài,xay giã làm cơm trưa
tăm toỏng,đâm sầm
túng toáng,lủng lẳng
túp,cụp
tăm,giã
tăm,húc
tò xang,đùa cợt nhau
tăm,đạp
tăm chình,nện tường đất
tăm hua lồng pùng,đâm đầu xuống bùn
tăm hẩư kỉ bảt,đạp cho mấy phát
"tăm hẩư mjển mjụp, ấu hẩư tư",giã cho mịn
"tăm hẩư mjển mjụp, ấu hẩư tư",ninh cho nhừ
tăm khảu toọng,đấm vào bụng
tăm khẩu mẩu,giã cốm
tăng bát pjạ,đâm một nhát dao
tăng,đâm
tăng,thục
tăng,ngã khuỵu
tôm ra,đất bùn
túng,lựt đặc sệt
túng toáng,bừa bãi
túng toáng,lang thang
tăm đảy chộc khẩu,giã được một cối gạo
tăn,dốt
tăn,ngu
tăn,tục
tăn bặng bẻ bot,dốt như dê mù
tăn phoóc,vụng
tăn phoóc,vụng về
tăn tăn,gật gật
tăm đin hết cạch,giẫm đất làm gạch
tăn đéc,dốt nát
tăn đéc,tục tằn
tăn ốt,dốt đặc
tăn ốt,ngu xuẩn
tăm khẩu mừ poóp,tay bị phồng
tăm slam slác,giã ba chày
tăm te,giẫm rối rít
tó bỏi,đối chất
tó chú,gí sát
tó cán xản,tra cán xẻng
tó lóm,vừa đủ
tó,với
tó lú,ngang giá
tòn,rung
tòa,quét
tò pày slấc pháp chám đi lầu,thuở trước giặc pháp chiếm đất ta
tò pây bấu hăn nả,lượt đi không gặp mặt
tò pọ căn,nâng đỡ nhau
tò teo,trở lại
tò thư tò bjắc căn,chửi bới nhau
tò tàm căn,trêu nhau
tò tỉu căn,chửi nhau
tò tồng,cũng như
tòa phon,quét vôi
tò tồng,giống như
tó choòng,đóng bàn
tó bôn,ong mắt quỷ
tăm thính,nện tường
tó,đóng
tăm toỏng,xay giã
tăm toỏng,đâm giã
tôc nặm pjà,chết đuối vớ được cọc
tăng tọt,ném
tô rườn pằng dạu,trọ ở nhà bạn
tô,đỗ
tòn slim slẩy,rung động tâm hồn
tòn slim slẩy,động lòng
tòn tựt,rung giần giật
tó,cùng nhau
tó,học trò
tó,ong bầu vẽ
tó,sánh với
tó,trước
tòn,rung động
tó,trước mặt
tó,với nhau
tải lục mừa dương tái,mang con về thăm bà ngoại
tải nghé tủi hết slướng,đeo cái túi làm dáng
tông bá,x. chông bá
tả slống pi noọng cằm lượn,tặng bà con bài lượn
tả rang,làm dang dở
tả sle,bỏ lại
tả lìa lục lan,bỏ rơi con cháu
tả sle noọc tông,bỏ ở ngoài đồng
tả sluổn,kể đến
tả sluổn,tính toán
tả slống,biếu
tả slống,tặng
tả thanh long chầu mà uổn khúc,bên tả thanh long chầu uốn khúc
tạo,vênh
tả tiểm ăn tốc ăn,xét nét việc này việc nọ
tả téo,bỏ bừa
tả sluổn,chấp nhận
tả làn mí hẩư pin mạy,can ngăn không cho trèo cây
tả làn,can ngăn
tả là,viện cớ
tạng nguyên chắng tọn tặp tung gia,trạng nguyên mới dọn dẹp trong nhà
tạng quy dú nả vua tình tấu,trạng quỳ trước mặt vua trình tấu
tả rang,bỏ dở
"tả nà hât slẩy, tả cáy liệng ca",bỏ ruộng làm rẫy
"tả nà hât slẩy, tả cáy liệng ca",bỏ gà nuôi quạ
tả mừ chếp bấu hết đảy fiệc,viện cớ đau tay không đi làm
tơi nẩy,thời nay
tượng dú chua,tượng ở trong chùa
tơi po tối táp thâng tơi lục,đời cha truyền đến đời con
tư,nhừ
tư xằng pây náo,nó chưa đi đâu mà
tươn,hòng
tươn,màng
tường,trường
tưởi,tưới
tưởi phjắc,tưới rau
tưởng,tướng
tơi táp tai,nối tiếp đời đời
tạng,máng tháo nước
tạng,trạng
tạng,trạng nguyên
tả lìa đin nhả,xa cách quê hương
tả lỉ đếch nóm,chăm sóc trẻ sơ sinh
tạo,cong
tạp,đạp
tải tinh au,công khai lấy
tàng pùng pây phjạt lộm,đường lầy đi có khi trượt chân ngã
tàng pây khỏ lai khỏi xo ngựt,tôi xin chừa
tàng pây khỏ lai khỏi xo ngựt,đường khó đi lắm
tàng pây quẹng rực,đường đi vắng tanh
tàng pây râ_y mì lai phja hốc.,đường đi lên nương có nhiều đá hộc.
"tàng nảy trơn lai, pây cẩn thận vạ.","đường này trơn lắm, đi cẩn thận vào."
tàng pây râ_y mưn min lai.,đường lên nương bụi bặm lắm.
tàng pây teo,đường đi lại
tàng pây vẹn vẹn,đường đi xa xôi
tàng queng,đường vòng
tạp tòa,cái trang cào thóc
tàng quây lai vớ.,đường xa lắm đấy.
"tàng quây lai vớ. te cần thái nguyên chầy. fiệc lăng ái hết khoái, boong lầu rèo cảng tuyện đuổi pú khải. hò an pây liêu liêu loa loa quá vằn.","đường xa lắm đấy. nó người thái nguyên thôi. việc gì muốn làm được nhanh, chúng ta phải bàn chuyện với ông khải. thằng an đi dong chơi suốt ngày."
"tàng quây lai vớ. tàng khửn bản khau chang bấu kỉ lai quây tọ mì lai lính. fiệc lăng ái hết khoái, boong lầu rèo cảng tuyện đuổi pú khải.","đường xa lắm đấy. đường lên bản khau chang không nhiều dốc lắm nhưng có rất nhiều khúc cua. việc gì muốn làm được nhanh, chúng ta phải bàn chuyện với ông khải."
tàng quảng thếng,đường đi rộng thênh thang
tàng pây slặc slạy kỉ văn,đường đi dằng dặc mấy ngày chưa tới nơi
tàng quảng thống,đường rộng thênh thênh
tàng năn,đường thẳng
tàng mì lai xum,đường nhiều ổ gà
tàng pây dú pín pác,đường đi ở hai môi
tàng pây bản tẩư hẹp lai.,đường đi xuống bản dưới rất hẹp.
tàng pây bản cốc bây quá tầư nỏ?,đường đến làng cốc bây đi đâu thế ạ?
tàng nặm,đường thủy
tạu,sắm
tạu,tậu
tạu vài hết nà,mua trâu làm ruộng
tạy,dạy
tạy hết then,dạy hát then
tả,bỏ
tả,hở
tả,li dị
tả,lòi
tả,sông
tả căn,bỏ nhau
tả cẩn,do dự
tả cẩn,trách nhiệm
tả téo,bỏ rơi
thông rụ,hiểu biết
tò pày,thuở trước
tò lồng,trở xuống
tơi lục táp tơi po,đời con nối dõi đời cha
tơi ké,đời xưa
tơi cần lang đạng,đời người lênh đênh
tầư lồm đảng men ay,bị trúng gió lạnh nên ho
tầư lồm đảng men cò cat,gặp gió lạnh bị khản tiếng
tầư lồm đảng men slăn,bị gió rét nên hắt hơi
tầư nam chộc kha,bị gai đâm vào chân
tầư rặc,bị sơn ăn
tẩn,dây buộc trâu bò
tẩn,x. tển
tẩn xu,mang tai
tẩu,cái bầu nậm
tầu phôn đảng đang fát,bị mưa lạnh bị cảm
tơi cần bặng mác túm luây noòng,đời người như quả xổ trôi theo dòng nước lũ
tầu,đầu
tầu,tướng
tảy hài,đế giày
tảy khôm tảy phết,chịu đắng chịu cay
tảy khỏ đảy,chịu khó được
tảy nai,chịu khó
tảy nai,cố gắng
tảy nả,nể mặt
tầư lồm,trúng gió độc
tầu đú,lúc đầu
tầư lồm,trúng gió
tầư,đâu
tải tinh bố pây,cố tình không đi
tải tây,con gái theo trai
tải tầu,đầu têu
tải tửn,thả sức
tải tửn au hẩư lai,thả sức lấy thật nhiều
tải xảng,đeo bên sườn
tải đang,có mang
tải rèo ỉ chèn sle hết nả,mang theo một ít tiền để làm sĩ diện
tảy,đáng
tảy,đất màu
tảy,đế
tầu đú,trước hết
tầy,giống
tầy,đực
tầư,khớp nhau
tầư,nào
tầư,trúng
tảy tắm phải lài,chịu khó dệt vải hoa
"tấm phải nẩy cũ, sờ hăn mjè dá.","tấm vải này cũ, sờ thấy mủn rồi."
tấm phải nẩy mìn lai.,tấm vải này mịn lắm.
tại bẳng pè khửn hát,kéo bè lên ghềnh
tạc,đo
tại lăng mầư pây liểu mí rủ noọng?,tại sao mày đi chơi không rủ em?
tại lăng vằn vằn phạ phân pện nảy?,tại sao ngày nào trời cũng mưa thế này?
"tại nắm chướng đông, khuổi chẳng bốc",vì không giữ rừng nên suối mới cạn
tại phân lai nặm chắng noòng cải.,vì trời mưa nhiều nên lụt to.
"tại phân, tại đét.",do nắng.
"tại phân, tại đét.",là do mưa
tại thả chài khẩu phjắc đảng,vì chờ anh nên cơm canh nguội
tạn,không nổi
tạn,quá mức
